Full Name,Short Name,Date,Sell Price,Buy Price,Number of Purchases,Number of Sales
Ripple,XRP,2020-01-30 10:35:47.337197,90112.76,86082.95,684,341
Litecoin,LTC,2020-01-30 10:35:47.337197,35313.17,34719.98,644,892
Cardano,ADA,2020-01-30 10:35:47.337197,30000.28,28889.35,906,642
Polkadot,DOT,2020-01-30 10:35:47.337197,31572.55,30268.4,509,58
Binance Coin,BNB,2020-01-30 10:35:47.337197,97781.57,94465.07,446,156
Dogecoin,DOGE,2020-01-30 10:35:47.337197,78174.0,76826.75,758,509
Bitcoin,BTC,2020-01-31 10:35:47.337197,21087.06,20810.34,179,765
Ethereum,ETH,2020-01-31 10:35:47.337197,63703.04,62363.98,396,173
Ripple,XRP,2020-01-31 10:35:47.337197,1076.47,1029.31,388,299
Litecoin,LTC,2020-01-31 10:35:47.337197,99316.98,96567.61,402,266
Cardano,ADA,2020-01-31 10:35:47.337197,1852.14,1773.19,855,588
Polkadot,DOT,2020-01-31 10:35:47.337197,27066.82,26374.13,881,772
Binance Coin,BNB,2020-01-31 10:35:47.337197,62445.58,60525.95,192,853
Dogecoin,DOGE,2020-01-31 10:35:47.337197,67701.91,65793.25,628,896
Bitcoin,BTC,2020-02-01 10:35:47.337197,1051.14,1011.83,825,202
Ethereum,ETH,2020-02-01 10:35:47.337197,37562.35,36030.25,816,825
Ripple,XRP,2020-02-01 10:35:47.337197,71003.02,68271.24,279,665
Litecoin,LTC,2020-02-01 10:35:47.337197,64172.05,61827.99,168,859
Cardano,ADA,2020-02-01 10:35:47.337197,99958.66,95835.58,243,879
Polkadot,DOT,2020-02-01 10:35:47.337197,3339.34,3176.51,758,255
Binance Coin,BNB,2020-02-01 10:35:47.337197,9162.0,8971.2,742,643
Dogecoin,DOGE,2020-02-01 10:35:47.337197,78473.3,77643.46,215,638
Bitcoin,BTC,2020-02-02 10:35:47.337197,17059.13,16590.13,921,616
Ethereum,ETH,2020-02-02 10:35:47.337197,4454.03,4377.81,476,789
Ripple,XRP,2020-02-02 10:35:47.337197,18164.09,17963.05,450,206
Litecoin,LTC,2020-02-02 10:35:47.337197,8521.43,8334.44,349,261
Cardano,ADA,2020-02-02 10:35:47.337197,4931.33,4792.38,853,382
Polkadot,DOT,2020-02-02 10:35:47.337197,111750.1,109422.94,255,368
Binance Coin,BNB,2020-02-02 10:35:47.337197,70477.67,68413.07,127,64
Dogecoin,DOGE,2020-02-02 10:35:47.337197,83344.87,80291.66,377,141
Bitcoin,BTC,2020-02-03 10:35:47.337197,52953.04,50895.61,917,820
Ethereum,ETH,2020-02-03 10:35:47.337197,21354.84,21059.43,904,139
Ripple,XRP,2020-02-03 10:35:47.337197,78365.51,76506.39,456,291
Litecoin,LTC,2020-02-03 10:35:47.337197,50108.46,47996.0,361,646
Cardano,ADA,2020-02-03 10:35:47.337197,53617.8,52926.39,928,345
Polkadot,DOT,2020-02-03 10:35:47.337197,39405.94,38007.3,765,386
Binance Coin,BNB,2020-02-03 10:35:47.337197,18795.86,18158.79,206,644
Dogecoin,DOGE,2020-02-03 10:35:47.337197,55031.13,53833.85,357,794
Bitcoin,BTC,2020-02-04 10:35:47.337197,25884.36,24994.37,145,325
Ethereum,ETH,2020-02-04 10:35:47.337197,91428.56,89173.65,826,367
Ripple,XRP,2020-02-04 10:35:47.337197,3382.02,3216.55,363,651
Litecoin,LTC,2020-02-04 10:35:47.337197,25061.3,24057.85,237,246
Cardano,ADA,2020-02-04 10:35:47.337197,67529.82,66165.45,940,423
Polkadot,DOT,2020-02-04 10:35:47.337197,2998.71,2896.27,964,638
Binance Coin,BNB,2020-02-04 10:35:47.337197,58206.33,56864.94,179,483
Dogecoin,DOGE,2020-02-04 10:35:47.337197,30026.84,29124.93,843,396
Bitcoin,BTC,2020-02-05 10:35:47.337197,15158.07,14887.6,171,64
Ethereum,ETH,2020-02-05 10:35:47.337197,17401.1,16585.13,368,315
Ripple,XRP,2020-02-05 10:35:47.337197,27233.01,26067.97,129,817
Litecoin,LTC,2020-02-05 10:35:47.337197,60910.89,58450.67,265,143
Cardano,ADA,2020-02-05 10:35:47.337197,103622.86,100090.73,101,571
Polkadot,DOT,2020-02-05 10:35:47.337197,3325.93,3168.63,591,542
Binance Coin,BNB,2020-02-05 10:35:47.337197,16182.49,15538.86,584,453
Dogecoin,DOGE,2020-02-05 10:35:47.337197,37117.62,36071.99,318,593
Bitcoin,BTC,2020-02-06 10:35:47.337197,22365.58,22076.2,570,239
Ethereum,ETH,2020-02-06 10:35:47.337197,21847.93,21040.62,152,410
Ripple,XRP,2020-02-06 10:35:47.337197,62423.04,60868.38,672,204
Litecoin,LTC,2020-02-06 10:35:47.337197,57095.72,54957.17,243,497
Cardano,ADA,2020-02-06 10:35:47.337197,5345.69,5146.38,325,631
Polkadot,DOT,2020-02-06 10:35:47.337197,76871.16,75226.32,615,666
Binance Coin,BNB,2020-02-06 10:35:47.337197,18724.29,17887.69,416,444
Dogecoin,DOGE,2020-02-06 10:35:47.337197,41688.58,40736.01,413,286
Bitcoin,BTC,2020-02-07 10:35:47.337197,13879.29,13596.48,365,805
Ethereum,ETH,2020-02-07 10:35:47.337197,9112.56,8717.95,111,302
Ripple,XRP,2020-02-07 10:35:47.337197,2995.36,2854.59,241,340
Litecoin,LTC,2020-02-07 10:35:47.337197,103722.04,99678.42,644,816
Cardano,ADA,2020-02-07 10:35:47.337197,67565.27,64686.07,334,456
Polkadot,DOT,2020-02-07 10:35:47.337197,46041.43,44703.05,814,900
Binance Coin,BNB,2020-02-07 10:35:47.337197,44598.34,42515.12,464,55
Dogecoin,DOGE,2020-02-07 10:35:47.337197,68447.28,66944.2,922,778
Bitcoin,BTC,2020-02-08 10:35:47.337197,29715.69,29305.04,109,495
Ethereum,ETH,2020-02-08 10:35:47.337197,33071.86,32502.66,145,823
Ripple,XRP,2020-02-08 10:35:47.337197,89678.43,88510.8,923,401
Litecoin,LTC,2020-02-08 10:35:47.337197,46357.38,44880.35,323,575
Cardano,ADA,2020-02-08 10:35:47.337197,91645.46,89686.47,949,358
Polkadot,DOT,2020-02-08 10:35:47.337197,29714.76,28332.36,356,420
Binance Coin,BNB,2020-02-08 10:35:47.337197,41948.2,40798.02,428,836
Dogecoin,DOGE,2020-02-08 10:35:47.337197,37532.66,36730.98,138,480
Bitcoin,BTC,2020-02-09 10:35:47.337197,39404.79,37711.2,822,321
Ethereum,ETH,2020-02-09 10:35:47.337197,48490.82,46183.44,252,150
Ripple,XRP,2020-02-09 10:35:47.337197,7407.73,7195.99,976,839
Litecoin,LTC,2020-02-09 10:35:47.337197,38859.19,37169.52,426,341
Cardano,ADA,2020-02-09 10:35:47.337197,53687.08,51223.03,740,824
Polkadot,DOT,2020-02-09 10:35:47.337197,3630.48,3545.57,765,817
Binance Coin,BNB,2020-02-09 10:35:47.337197,36587.9,34896.11,929,870
Dogecoin,DOGE,2020-02-09 10:35:47.337197,83854.08,82812.09,294,813
Bitcoin,BTC,2020-02-10 10:35:47.337197,26969.15,26067.5,566,605
Ethereum,ETH,2020-02-10 10:35:47.337197,31788.39,30910.27,253,653
Ripple,XRP,2020-02-10 10:35:47.337197,432.0,420.26,959,310
Litecoin,LTC,2020-02-10 10:35:47.337197,28604.4,27415.12,460,695
Cardano,ADA,2020-02-10 10:35:47.337197,297.69,290.86,639,594
Polkadot,DOT,2020-02-10 10:35:47.337197,9997.02,9609.62,615,771
Binance Coin,BNB,2020-02-10 10:35:47.337197,21876.13,21201.85,368,710
Dogecoin,DOGE,2020-02-10 10:35:47.337197,41613.45,40796.63,365,699
Bitcoin,BTC,2020-02-11 10:35:47.337197,40441.21,39473.65,330,272
Ethereum,ETH,2020-02-11 10:35:47.337197,39136.66,37694.39,511,621
Ripple,XRP,2020-02-11 10:35:47.337197,37877.97,37160.0,219,161
Litecoin,LTC,2020-02-11 10:35:47.337197,35162.37,34156.29,533,58
Cardano,ADA,2020-02-11 10:35:47.337197,54411.33,52555.99,541,723
Polkadot,DOT,2020-02-11 10:35:47.337197,35927.68,35481.1,329,672
Binance Coin,BNB,2020-02-11 10:35:47.337197,39294.33,38501.89,198,70
Dogecoin,DOGE,2020-02-11 10:35:47.337197,80447.46,79347.96,878,662
Bitcoin,BTC,2020-02-12 10:35:47.337197,59213.96,57959.21,369,836
Ethereum,ETH,2020-02-12 10:35:47.337197,19372.22,18991.38,708,599
Ripple,XRP,2020-02-12 10:35:47.337197,63963.0,61289.61,920,169
Litecoin,LTC,2020-02-12 10:35:47.337197,9885.77,9528.05,170,749
Cardano,ADA,2020-02-12 10:35:47.337197,71774.22,70711.95,567,460
Polkadot,DOT,2020-02-12 10:35:47.337197,56172.79,54022.37,416,674
Binance Coin,BNB,2020-02-12 10:35:47.337197,40215.04,39414.75,294,607
Dogecoin,DOGE,2020-02-12 10:35:47.337197,30580.43,30150.85,630,546
Bitcoin,BTC,2020-02-13 10:35:47.337197,30113.7,29178.99,944,543
Ethereum,ETH,2020-02-13 10:35:47.337197,70959.6,68768.34,836,589
Ripple,XRP,2020-02-13 10:35:47.337197,35434.5,34063.05,161,762
Litecoin,LTC,2020-02-13 10:35:47.337197,26299.99,25204.63,396,337
Cardano,ADA,2020-02-13 10:35:47.337197,81403.17,79658.49,359,346
Polkadot,DOT,2020-02-13 10:35:47.337197,22956.08,21936.91,775,59
Binance Coin,BNB,2020-02-13 10:35:47.337197,27686.49,27134.83,833,752
Dogecoin,DOGE,2020-02-13 10:35:47.337197,517.83,498.85,277,742
Bitcoin,BTC,2020-02-14 10:35:47.337197,41805.35,40052.5,675,809
Ethereum,ETH,2020-02-14 10:35:47.337197,41468.13,39469.85,628,247
Ripple,XRP,2020-02-14 10:35:47.337197,1181.26,1146.92,270,82
Litecoin,LTC,2020-02-14 10:35:47.337197,19089.42,18488.3,540,794
Cardano,ADA,2020-02-14 10:35:47.337197,92192.82,90026.01,848,752
Polkadot,DOT,2020-02-14 10:35:47.337197,40708.73,39675.2,845,344
Binance Coin,BNB,2020-02-14 10:35:47.337197,36503.35,34885.42,648,855
Dogecoin,DOGE,2020-02-14 10:35:47.337197,63836.12,60900.51,421,143
Bitcoin,BTC,2020-02-15 10:35:47.337197,43102.08,42351.04,397,876
Ethereum,ETH,2020-02-15 10:35:47.337197,28441.74,27737.68,378,301
Ripple,XRP,2020-02-15 10:35:47.337197,92970.74,90435.74,839,558
Litecoin,LTC,2020-02-15 10:35:47.337197,97694.98,95842.54,286,770
Cardano,ADA,2020-02-15 10:35:47.337197,60083.13,58873.22,725,379
Polkadot,DOT,2020-02-15 10:35:47.337197,71894.75,69814.82,707,344
Binance Coin,BNB,2020-02-15 10:35:47.337197,13404.74,13222.78,767,805
Dogecoin,DOGE,2020-02-15 10:35:47.337197,23616.58,23031.37,680,553
Bitcoin,BTC,2020-02-16 10:35:47.337197,14683.18,14008.14,324,621
Ethereum,ETH,2020-02-16 10:35:47.337197,68442.32,67534.83,362,615
Ripple,XRP,2020-02-16 10:35:47.337197,48639.19,47023.06,171,600
Litecoin,LTC,2020-02-16 10:35:47.337197,70568.0,67528.14,451,391
Cardano,ADA,2020-02-16 10:35:47.337197,57756.88,54893.45,676,711
Polkadot,DOT,2020-02-16 10:35:47.337197,32248.42,31609.71,149,85
Binance Coin,BNB,2020-02-16 10:35:47.337197,42518.27,41077.09,944,314
Dogecoin,DOGE,2020-02-16 10:35:47.337197,46917.78,45172.45,559,225
Bitcoin,BTC,2020-02-17 10:35:47.337197,30864.4,29837.63,793,779
Ethereum,ETH,2020-02-17 10:35:47.337197,109750.7,104308.51,788,300
Ripple,XRP,2020-02-17 10:35:47.337197,33431.48,31835.99,858,545
Litecoin,LTC,2020-02-17 10:35:47.337197,21449.79,21096.41,829,541
Cardano,ADA,2020-02-17 10:35:47.337197,31110.82,29844.87,184,531
Polkadot,DOT,2020-02-17 10:35:47.337197,31642.01,30814.4,260,678
Binance Coin,BNB,2020-02-17 10:35:47.337197,15541.25,15056.7,184,617
Dogecoin,DOGE,2020-02-17 10:35:47.337197,57836.61,55529.76,731,401
Bitcoin,BTC,2020-02-18 10:35:47.337197,44599.57,42427.7,811,446
Ethereum,ETH,2020-02-18 10:35:47.337197,17940.73,17311.61,271,448
Ripple,XRP,2020-02-18 10:35:47.337197,61147.1,58723.32,172,225
Litecoin,LTC,2020-02-18 10:35:47.337197,78297.24,76802.34,238,680
Cardano,ADA,2020-02-18 10:35:47.337197,88814.31,86422.66,226,391
Polkadot,DOT,2020-02-18 10:35:47.337197,57628.31,55794.92,361,505
Binance Coin,BNB,2020-02-18 10:35:47.337197,17623.8,17155.36,685,854
Dogecoin,DOGE,2020-02-18 10:35:47.337197,41501.88,40825.94,573,422
Bitcoin,BTC,2020-02-19 10:35:47.337197,30003.62,28674.35,712,352
Ethereum,ETH,2020-02-19 10:35:47.337197,14134.3,13701.94,891,189
Ripple,XRP,2020-02-19 10:35:47.337197,15118.54,14901.59,797,301
Litecoin,LTC,2020-02-19 10:35:47.337197,62913.59,61359.2,229,55
Cardano,ADA,2020-02-19 10:35:47.337197,23887.23,23034.95,315,351
Polkadot,DOT,2020-02-19 10:35:47.337197,54680.75,52333.62,790,898
Binance Coin,BNB,2020-02-19 10:35:47.337197,39028.73,37160.68,623,803
Dogecoin,DOGE,2020-02-19 10:35:47.337197,24256.23,23596.15,259,744
Bitcoin,BTC,2020-02-20 10:35:47.337197,72603.66,70215.98,261,782
Ethereum,ETH,2020-02-20 10:35:47.337197,73546.9,72251.97,195,390
Ripple,XRP,2020-02-20 10:35:47.337197,31043.02,30695.2,311,509
Litecoin,LTC,2020-02-20 10:35:47.337197,84025.07,81474.93,509,350
Cardano,ADA,2020-02-20 10:35:47.337197,10651.26,10230.69,819,93
Polkadot,DOT,2020-02-20 10:35:47.337197,57884.94,55032.96,907,455
Binance Coin,BNB,2020-02-20 10:35:47.337197,31330.74,30661.38,551,242
Dogecoin,DOGE,2020-02-20 10:35:47.337197,24854.38,24372.34,305,869
Bitcoin,BTC,2020-02-21 10:35:47.337197,4258.35,4140.61,207,504
Ethereum,ETH,2020-02-21 10:35:47.337197,87567.78,84482.52,295,365
Ripple,XRP,2020-02-21 10:35:47.337197,29779.9,28812.22,805,258
Litecoin,LTC,2020-02-21 10:35:47.337197,96721.6,92915.44,343,231
Cardano,ADA,2020-02-21 10:35:47.337197,75283.38,72609.17,434,290
Polkadot,DOT,2020-02-21 10:35:47.337197,49670.31,47804.97,243,158
Binance Coin,BNB,2020-02-21 10:35:47.337197,13787.67,13179.08,650,722
Dogecoin,DOGE,2020-02-21 10:35:47.337197,246.56,241.2,530,460
Bitcoin,BTC,2020-02-22 10:35:47.337197,15407.61,15124.69,951,278
Ethereum,ETH,2020-02-22 10:35:47.337197,60485.63,58836.13,630,772
Ripple,XRP,2020-02-22 10:35:47.337197,39982.52,38843.29,544,369
Litecoin,LTC,2020-02-22 10:35:47.337197,20941.3,20723.87,770,260
Cardano,ADA,2020-02-22 10:35:47.337197,28609.9,27558.94,558,853
Polkadot,DOT,2020-02-22 10:35:47.337197,39228.21,37899.11,940,139
Binance Coin,BNB,2020-02-22 10:35:47.337197,2085.66,2023.86,235,465
Dogecoin,DOGE,2020-02-22 10:35:47.337197,5126.28,4975.35,369,187
Bitcoin,BTC,2020-02-23 10:35:47.337197,58749.22,56337.56,527,717
Ethereum,ETH,2020-02-23 10:35:47.337197,22547.32,21544.28,981,183
Ripple,XRP,2020-02-23 10:35:47.337197,63825.75,62708.13,370,868
Litecoin,LTC,2020-02-23 10:35:47.337197,61535.24,58825.25,783,556
Cardano,ADA,2020-02-23 10:35:47.337197,67938.41,65087.05,248,212
Polkadot,DOT,2020-02-23 10:35:47.337197,32286.8,31950.53,660,654
Binance Coin,BNB,2020-02-23 10:35:47.337197,41900.95,40071.74,766,550
Dogecoin,DOGE,2020-02-23 10:35:47.337197,54368.51,53514.53,851,687
Bitcoin,BTC,2020-02-24 10:35:47.337197,9340.73,8938.22,141,203
Ethereum,ETH,2020-02-24 10:35:47.337197,20427.54,20088.12,257,671
Ripple,XRP,2020-02-24 10:35:47.337197,17251.07,16415.96,893,292
Litecoin,LTC,2020-02-24 10:35:47.337197,63780.67,62688.24,914,472
Cardano,ADA,2020-02-24 10:35:47.337197,14010.56,13780.09,876,417
Polkadot,DOT,2020-02-24 10:35:47.337197,49158.38,47930.85,278,332
Binance Coin,BNB,2020-02-24 10:35:47.337197,13711.59,13516.58,199,113
Dogecoin,DOGE,2020-02-24 10:35:47.337197,69212.73,67363.6,400,834
Bitcoin,BTC,2020-02-25 10:35:47.337197,42870.64,41006.14,943,624
Ethereum,ETH,2020-02-25 10:35:47.337197,51994.81,49887.79,238,177
Ripple,XRP,2020-02-25 10:35:47.337197,15969.95,15240.85,549,242
Litecoin,LTC,2020-02-25 10:35:47.337197,6431.38,6257.35,432,854
Cardano,ADA,2020-02-25 10:35:47.337197,5844.45,5752.02,555,697
Polkadot,DOT,2020-02-25 10:35:47.337197,64571.11,61642.57,534,684
Binance Coin,BNB,2020-02-25 10:35:47.337197,39096.39,38550.73,515,446
Dogecoin,DOGE,2020-02-25 10:35:47.337197,6495.02,6350.58,141,707
Bitcoin,BTC,2020-02-26 10:35:47.337197,98789.32,95504.01,480,828
Ethereum,ETH,2020-02-26 10:35:47.337197,33769.12,32599.08,763,268
Ripple,XRP,2020-02-26 10:35:47.337197,42172.55,40417.41,578,541
Litecoin,LTC,2020-02-26 10:35:47.337197,25839.31,24670.71,754,517
Cardano,ADA,2020-02-26 10:35:47.337197,34778.95,34086.18,176,629
Polkadot,DOT,2020-02-26 10:35:47.337197,12977.39,12799.26,973,860
Binance Coin,BNB,2020-02-26 10:35:47.337197,1603.3,1565.34,425,407
Dogecoin,DOGE,2020-02-26 10:35:47.337197,584.86,561.42,731,249
Bitcoin,BTC,2020-02-27 10:35:47.337197,90144.59,88496.37,494,405
Ethereum,ETH,2020-02-27 10:35:47.337197,52085.69,50490.74,524,795
Ripple,XRP,2020-02-27 10:35:47.337197,101945.58,98341.52,411,767
Litecoin,LTC,2020-02-27 10:35:47.337197,6716.01,6558.05,267,575
Cardano,ADA,2020-02-27 10:35:47.337197,6565.87,6446.39,843,788
Polkadot,DOT,2020-02-27 10:35:47.337197,69608.99,66280.7,455,376
Binance Coin,BNB,2020-02-27 10:35:47.337197,25187.1,24507.58,498,640
Dogecoin,DOGE,2020-02-27 10:35:47.337197,6302.72,6052.24,941,236
Bitcoin,BTC,2020-02-28 10:35:47.337197,61757.56,59508.08,960,704
Ethereum,ETH,2020-02-28 10:35:47.337197,53839.08,53243.3,796,528
Ripple,XRP,2020-02-28 10:35:47.337197,4410.0,4351.09,870,379
Litecoin,LTC,2020-02-28 10:35:47.337197,42292.42,41182.05,163,517
Cardano,ADA,2020-02-28 10:35:47.337197,8184.22,7838.23,657,422
Polkadot,DOT,2020-02-28 10:35:47.337197,11883.11,11516.44,672,797
Binance Coin,BNB,2020-02-28 10:35:47.337197,62030.16,60403.15,548,726
Dogecoin,DOGE,2020-02-28 10:35:47.337197,77442.32,75500.45,590,551
Bitcoin,BTC,2020-02-29 10:35:47.337197,98731.74,94105.04,580,614
Ethereum,ETH,2020-02-29 10:35:47.337197,29781.2,28692.89,448,832
Ripple,XRP,2020-02-29 10:35:47.337197,29492.52,28983.77,133,261
Litecoin,LTC,2020-02-29 10:35:47.337197,54109.76,51731.01,946,167
Cardano,ADA,2020-02-29 10:35:47.337197,34078.94,33121.98,147,133
Polkadot,DOT,2020-02-29 10:35:47.337197,52457.1,51154.2,670,283
Binance Coin,BNB,2020-02-29 10:35:47.337197,12802.06,12483.47,547,643
Dogecoin,DOGE,2020-02-29 10:35:47.337197,31032.95,29557.57,733,377
Bitcoin,BTC,2020-03-01 10:35:47.337197,45392.35,44031.16,152,322
Ethereum,ETH,2020-03-01 10:35:47.337197,90210.36,87805.82,375,740
Ripple,XRP,2020-03-01 10:35:47.337197,52952.83,50953.8,226,642
Litecoin,LTC,2020-03-01 10:35:47.337197,18351.41,17485.82,595,837
Cardano,ADA,2020-03-01 10:35:47.337197,49105.9,46791.27,658,730
Polkadot,DOT,2020-03-01 10:35:47.337197,34827.82,33563.29,701,862
Binance Coin,BNB,2020-03-01 10:35:47.337197,112579.94,109502.32,448,845
Dogecoin,DOGE,2020-03-01 10:35:47.337197,60645.63,58386.27,778,731
Bitcoin,BTC,2020-03-02 10:35:47.337197,47102.64,45135.45,486,242
Ethereum,ETH,2020-03-02 10:35:47.337197,6021.74,5739.08,464,238
Ripple,XRP,2020-03-02 10:35:47.337197,77037.27,76215.73,524,731
Litecoin,LTC,2020-03-02 10:35:47.337197,13355.27,12817.44,543,470
Cardano,ADA,2020-03-02 10:35:47.337197,43306.77,42472.07,537,792
Polkadot,DOT,2020-03-02 10:35:47.337197,9789.58,9636.79,128,149
Binance Coin,BNB,2020-03-02 10:35:47.337197,59482.04,57926.03,606,825
Dogecoin,DOGE,2020-03-02 10:35:47.337197,18576.53,17834.8,308,617
Bitcoin,BTC,2020-03-03 10:35:47.337197,72405.12,70003.53,902,777
Ethereum,ETH,2020-03-03 10:35:47.337197,88479.08,84467.15,367,346
Ripple,XRP,2020-03-03 10:35:47.337197,43129.21,42048.68,363,351
Litecoin,LTC,2020-03-03 10:35:47.337197,24478.08,23636.01,236,644
Cardano,ADA,2020-03-03 10:35:47.337197,103554.99,99013.85,621,579
Polkadot,DOT,2020-03-03 10:35:47.337197,61396.84,59118.24,193,185
Binance Coin,BNB,2020-03-03 10:35:47.337197,41469.1,40742.3,612,742
Dogecoin,DOGE,2020-03-03 10:35:47.337197,77912.44,74911.74,942,262
Bitcoin,BTC,2020-03-04 10:35:47.337197,37016.82,35260.27,270,763
Ethereum,ETH,2020-03-04 10:35:47.337197,23264.76,22574.52,850,109
Ripple,XRP,2020-03-04 10:35:47.337197,7959.25,7757.8,503,132
Litecoin,LTC,2020-03-04 10:35:47.337197,48388.25,46217.97,401,547
Cardano,ADA,2020-03-04 10:35:47.337197,3675.33,3565.68,664,702
Polkadot,DOT,2020-03-04 10:35:47.337197,79.3,75.51,763,716
Binance Coin,BNB,2020-03-04 10:35:47.337197,35309.93,34177.67,210,468
Dogecoin,DOGE,2020-03-04 10:35:47.337197,55983.26,54791.4,973,435
Bitcoin,BTC,2020-03-05 10:35:47.337197,23826.57,23329.02,274,731
Ethereum,ETH,2020-03-05 10:35:47.337197,65352.06,63730.4,566,286
Ripple,XRP,2020-03-05 10:35:47.337197,55508.21,53497.88,462,336
Litecoin,LTC,2020-03-05 10:35:47.337197,40565.95,39560.0,560,383
Cardano,ADA,2020-03-05 10:35:47.337197,38113.55,37063.17,835,213
Polkadot,DOT,2020-03-05 10:35:47.337197,22978.22,22032.34,151,124
Binance Coin,BNB,2020-03-05 10:35:47.337197,67230.91,65142.42,895,211
Dogecoin,DOGE,2020-03-05 10:35:47.337197,61646.97,60685.32,458,646
Bitcoin,BTC,2020-03-06 10:35:47.337197,25280.34,24325.26,791,310
Ethereum,ETH,2020-03-06 10:35:47.337197,62722.04,60136.63,151,248
Ripple,XRP,2020-03-06 10:35:47.337197,23130.03,22087.28,664,824
Litecoin,LTC,2020-03-06 10:35:47.337197,55936.98,53723.97,913,802
Cardano,ADA,2020-03-06 10:35:47.337197,90626.84,86541.33,195,489
Polkadot,DOT,2020-03-06 10:35:47.337197,80791.22,78721.86,919,448
Binance Coin,BNB,2020-03-06 10:35:47.337197,50688.76,48482.54,905,96
Dogecoin,DOGE,2020-03-06 10:35:47.337197,6909.13,6745.33,334,518
Bitcoin,BTC,2020-03-07 10:35:47.337197,13719.68,13513.41,974,666
Ethereum,ETH,2020-03-07 10:35:47.337197,5584.96,5369.65,522,351
Ripple,XRP,2020-03-07 10:35:47.337197,49552.83,48008.94,484,577
Litecoin,LTC,2020-03-07 10:35:47.337197,15138.46,14846.72,114,355
Cardano,ADA,2020-03-07 10:35:47.337197,52589.13,51594.42,527,304
Polkadot,DOT,2020-03-07 10:35:47.337197,50316.11,48983.5,910,652
Binance Coin,BNB,2020-03-07 10:35:47.337197,38932.58,37691.04,188,550
Dogecoin,DOGE,2020-03-07 10:35:47.337197,19126.72,18551.55,975,706
Bitcoin,BTC,2020-03-08 10:35:47.337197,82229.71,80796.74,222,687
Ethereum,ETH,2020-03-08 10:35:47.337197,36545.3,35202.21,360,252
Ripple,XRP,2020-03-08 10:35:47.337197,78820.57,75855.04,611,475
Litecoin,LTC,2020-03-08 10:35:47.337197,51686.97,49840.52,671,514
Cardano,ADA,2020-03-08 10:35:47.337197,74662.48,72207.12,216,175
Polkadot,DOT,2020-03-08 10:35:47.337197,47302.23,46406.91,106,657
Binance Coin,BNB,2020-03-08 10:35:47.337197,18041.69,17637.3,183,738
Dogecoin,DOGE,2020-03-08 10:35:47.337197,39234.98,37477.38,862,466
Bitcoin,BTC,2020-03-09 10:35:47.337197,21608.21,20920.27,350,679
Ethereum,ETH,2020-03-09 10:35:47.337197,43388.86,41546.53,444,648
Ripple,XRP,2020-03-09 10:35:47.337197,18161.04,17685.02,411,897
Litecoin,LTC,2020-03-09 10:35:47.337197,61773.78,58859.38,657,302
Cardano,ADA,2020-03-09 10:35:47.337197,78710.58,76184.7,377,328
Polkadot,DOT,2020-03-09 10:35:47.337197,67047.06,65982.13,847,278
Binance Coin,BNB,2020-03-09 10:35:47.337197,36108.05,34657.91,499,209
Dogecoin,DOGE,2020-03-09 10:35:47.337197,1063.37,1020.24,199,459
Bitcoin,BTC,2020-03-10 10:35:47.337197,12054.77,11740.52,178,361
Ethereum,ETH,2020-03-10 10:35:47.337197,65036.2,64068.16,458,765
